Question|Reponse|Questions_Lem|CountVectorizer|TfidfVectorizer
['quel', 'rythm', 'apprentissag']|2 jours en entreprise et 3 jours à l’école, le temps des vacances scolaires se passe aussi en entreprise.|['quel rythm apprentissag']|[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5678810589734846, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.515523558378981, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6416748114235332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
['peut', 'fair', 'comm', 'mission', 'entrepris', 'apre', 'an', 'cycl', 'preparatoir', 'esilv']|Tout dépend de la cohérence de la mission à laquelle tu postules vis-à-vis de la majeure que tu comptes suivre (Si tu comptes poursuivre dans la cybersécurité ou la data, il te faut une mission s’y rapportant). |['peut fair comm mission entrepris apre an cycl preparatoir esilv']|[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[0.0, 0.0, 0.0, 0.0, 0.0, 0.33515228373841827, 0.0, 0.0, 0.2966091709046857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33515228373841827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33515228373841827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.23071928431158675, 0.33515228373841827, 0.0, 0.0, 0.0, 0.0, 0.33515228373841827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33515228373841827, 0.0, 0.0, 0.0, 0.2692623971453193, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33515228373841827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
['liaison', 'entre', 'ecol', 'entrepris']|Oui, il y a la Direction des partenariats entreprises qui assure la liaison entre les deux, les alternants ont aussi un tuteur école chargé de s’assurer que tout se passe bien pour l’alternant, de l’évaluer au cours de l’année ainsi qu’un tuteur entreprise qui prend en charge l’alternant pendant son temps passé en entreprise.  |['liaison entre ecol entrepris']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.49037196029347785, 0.0, 0.0, 0.5540937317358171, 0.38143887250788217, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5540937317358171, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
['aid', 'recherch', 'entrepris']|L’école met en relation des entreprises qui ont des postes en alternance à pourvoir et des étudiants en recherche d’alternance via des rencontres qui peuvent se faire en présentiel où à distance. Il y a donc une aide de l’école bien qu’il faille rester actif dans cette démarche et poursuivre les recherches par soi-même. |['aid recherch entrepris']|[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[0.0, 0.0, 0.6357834873181182, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4376742104662148, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6357834873181182, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
['devon', 'rest', 'mem', 'entrepris', 'pend', 'anne', 'apprentissag']|Sauf pour des raisons exceptionnelles qui impliquent une volonté de la part de l’entreprise ou de l’alternant de vouloir rompre le contrat qui lie l’étudiant à l’entreprise, l’étudiant est considéré comme salarié de l’entreprise durant toute la durée de la formation. Si un contrat est signé pour 3 ans d’apprentissage, l’étudiant sera donc normalement 3 ans dans la même entreprise. A savoir qu’il est également possible de rejoindre le parcours en alternance lors de la 4eme année, pour un contrat de 2 ans. |['devon rest mem entrepris pend anne apprentissag']|[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3711476618737589, 0.3711476618737589, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.41937673775143375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2886995120894278, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3369285879671026, 0.0, 0.0, 0.0, 0.0, 0.41937673775143375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.41937673775143375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
['semestr', 'etrang']|En alternance, le diplôme obtenu à la fin de la formation est le même que celui obtenu par les étudiants qui ne sont pas en alternance (dits en « initial »). Il y a donc également une mobilité à l’international à valider pour les étudiants en alternance mais celle-ci est plus courte. La durée de la période à l’étranger est actuellement de 3 mois. Elle peut être organisée par l’école ou par l’entreprise. |['semestr etrang']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6415209094436062, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7671055486350288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
['echang', 'etrang', 'autoris']|En alternance, le diplôme obtenu à la fin de la formation est le même que celui obtenu par les étudiants qui ne sont pas en alternance (dits en « initial »). Il y a donc également une mobilité à l’international à valider pour les étudiants en alternance mais celle-ci est plus courte. La durée de la période à l’étranger est actuellement de 3 mois. Elle peut être organisée par l’école ou par l’entreprise. |['echang etrang autoris']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6264986123092073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6264986123092073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46367982223650306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
['peut', 'toujour', 'effectu', 'semestr', 'etrang']|En alternance, le diplôme obtenu à la fin de la formation est le même que celui obtenu par les étudiants qui ne sont pas en alternance (dits en « initial »). Il y a donc également une mobilité à l’international à valider pour les étudiants en alternance mais celle-ci est plus courte. La durée de la période à l’étranger est actuellement de 3 mois. Elle peut être organisée par l’école ou par l’entreprise. |['peut toujour effectu semestr etrang']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5014786700105359, 0.0, 0.0, 0.0, 0.0, 0.37115092674957223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.40288953814699946, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.44380772489171383, 0.0, 0.0, 0.0, 0.5014786700105359, 0.0, 0.0]
['compatibl', 'voyag', 'etrang']|En alternance, le diplôme obtenu à la fin de la formation est le même que celui obtenu par les étudiants qui ne sont pas en alternance (dits en « initial »). Il y a donc également une mobilité à l’international à valider pour les étudiants en alternance mais celle-ci est plus courte. La durée de la période à l’étranger est actuellement de 3 mois. Elle peut être organisée par l’école ou par l’entreprise. |['compatibl voyag etrang']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6264986123092073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46367982223650306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6264986123092073]
['diplom', 'fin', 'exact', 'mem']|Oui, à l’issue de la formation, les alternants reçoivent le même diplôme d’ingénieur habilité par la CTI (Commission des Titres d’Ingénieurs) que les étudiants ayant suivi d’autres parcours.  |['diplom fin exact mem']|[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4779462009575411, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.540053297295031, 0.0, 0.0, 0.0, 0.540053297295031, 0.0, 0.0, 0.0, 0.43388051483303947, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
