Question|Reponse
Quel est le rythme d'apprentissage ?|2 jours en entreprise et 3 jours à l’école, le temps des vacances scolaires se passe aussi en entreprise.
Qu'est-ce qu'on peut faire comme mission dans l'entreprise après 2 ans de cycle préparatoire à l'ESILV ?|Tout dépend de la cohérence de la mission à laquelle tu postules vis-à-vis de la majeure que tu comptes suivre (Si tu comptes poursuivre dans la cybersécurité ou la data, il te faut une mission s’y rapportant). 
Y-a-t-il une liaison entre l'école et l'entreprise ?|Oui, il y a la Direction des partenariats entreprises qui assure la liaison entre les deux, les alternants ont aussi un tuteur école chargé de s’assurer que tout se passe bien pour l’alternant, de l’évaluer au cours de l’année ainsi qu’un tuteur entreprise qui prend en charge l’alternant pendant son temps passé en entreprise.  
Nous aide-t-on dans la recherche d'une entreprise ?|L’école met en relation des entreprises qui ont des postes en alternance à pourvoir et des étudiants en recherche d’alternance via des rencontres qui peuvent se faire en présentiel où à distance. Il y a donc une aide de l’école bien qu’il faille rester actif dans cette démarche et poursuivre les recherches par soi-même. 
Devons-nous rester dans la même entreprise pendant les 3 années d'apprentissage ?|Sauf pour des raisons exceptionnelles qui impliquent une volonté de la part de l’entreprise ou de l’alternant de vouloir rompre le contrat qui lie l’étudiant à l’entreprise, l’étudiant est considéré comme salarié de l’entreprise durant toute la durée de la formation. Si un contrat est signé pour 3 ans d’apprentissage, l’étudiant sera donc normalement 3 ans dans la même entreprise. A savoir qu’il est également possible de rejoindre le parcours en alternance lors de la 4eme année, pour un contrat de 2 ans. 
Y-a-t-il un semestre à l'étranger ?|En alternance, le diplôme obtenu à la fin de la formation est le même que celui obtenu par les étudiants qui ne sont pas en alternance (dits en « initial »). Il y a donc également une mobilité à l’international à valider pour les étudiants en alternance mais celle-ci est plus courte. La durée de la période à l’étranger est actuellement de 3 mois. Elle peut être organisée par l’école ou par l’entreprise. 
Les échanges à l'étranger sont-ils autorisés ?|En alternance, le diplôme obtenu à la fin de la formation est le même que celui obtenu par les étudiants qui ne sont pas en alternance (dits en « initial »). Il y a donc également une mobilité à l’international à valider pour les étudiants en alternance mais celle-ci est plus courte. La durée de la période à l’étranger est actuellement de 3 mois. Elle peut être organisée par l’école ou par l’entreprise. 
Peut-on toujours effectuer un semestre à l'étranger ?|En alternance, le diplôme obtenu à la fin de la formation est le même que celui obtenu par les étudiants qui ne sont pas en alternance (dits en « initial »). Il y a donc également une mobilité à l’international à valider pour les étudiants en alternance mais celle-ci est plus courte. La durée de la période à l’étranger est actuellement de 3 mois. Elle peut être organisée par l’école ou par l’entreprise. 
Est-ce compatible avec le voyage à l’étranger ?|En alternance, le diplôme obtenu à la fin de la formation est le même que celui obtenu par les étudiants qui ne sont pas en alternance (dits en « initial »). Il y a donc également une mobilité à l’international à valider pour les étudiants en alternance mais celle-ci est plus courte. La durée de la période à l’étranger est actuellement de 3 mois. Elle peut être organisée par l’école ou par l’entreprise. 
Le diplôme à la fin est-il exactement le même ?|Oui, à l’issue de la formation, les alternants reçoivent le même diplôme d’ingénieur habilité par la CTI (Commission des Titres d’Ingénieurs) que les étudiants ayant suivi d’autres parcours.  
Y'a-t-il un quelconque désavantage à l'alternance ?|Une fois en alternance, l’étudiant est considéré comme salarié de l’entreprise pour la durée de sa formation, il n’y a donc plus de vacances scolaires. Les vacances sont définies par des congés payés acquis pendant l’année comme les autres salariés (5 semaines). 
L'alternance ferme-t-elle la porte aux doubles diplômes ?|Oui, on ne peut pas être alternant et être en double diplôme.  
